"month","day","rise","rise_day","set","set_day","rise_date","set_date","utc_offset"
"4","19","0650","SAME","1745","SAME","2018-04-19 06:50:00","2018-04-19 17:45:00","UTC+10:00"
"4","20","0651","SAME","1744","SAME","2018-04-20 06:51:00","2018-04-20 17:44:00","UTC+10:00"
"4","21","0652","SAME","1743","SAME","2018-04-21 06:52:00","2018-04-21 17:43:00","UTC+10:00"
"4","22","0653","SAME","1741","SAME","2018-04-22 06:53:00","2018-04-22 17:41:00","UTC+10:00"
"4","23","0653","SAME","1740","SAME","2018-04-23 06:53:00","2018-04-23 17:40:00","UTC+10:00"
"4","24","0654","SAME","1739","SAME","2018-04-24 06:54:00","2018-04-24 17:39:00","UTC+10:00"
"4","25","0655","SAME","1737","SAME","2018-04-25 06:55:00","2018-04-25 17:37:00","UTC+10:00"
"4","26","0656","SAME","1736","SAME","2018-04-26 06:56:00","2018-04-26 17:36:00","UTC+10:00"
"4","27","0657","SAME","1735","SAME","2018-04-27 06:57:00","2018-04-27 17:35:00","UTC+10:00"
"4","28","0658","SAME","1734","SAME","2018-04-28 06:58:00","2018-04-28 17:34:00","UTC+10:00"
"4","29","0659","SAME","1732","SAME","2018-04-29 06:59:00","2018-04-29 17:32:00","UTC+10:00"
"4","30","0700","SAME","1731","SAME","2018-04-30 07:00:00","2018-04-30 17:31:00","UTC+10:00"
"5","1","0701","SAME","1730","SAME","2018-05-01 07:01:00","2018-05-01 17:30:00","UTC+10:00"
"5","2","0702","SAME","1729","SAME","2018-05-02 07:02:00","2018-05-02 17:29:00","UTC+10:00"
"5","3","0703","SAME","1728","SAME","2018-05-03 07:03:00","2018-05-03 17:28:00","UTC+10:00"
"5","4","0704","SAME","1726","SAME","2018-05-04 07:04:00","2018-05-04 17:26:00","UTC+10:00"
"5","5","0705","SAME","1725","SAME","2018-05-05 07:05:00","2018-05-05 17:25:00","UTC+10:00"
"5","6","0706","SAME","1724","SAME","2018-05-06 07:06:00","2018-05-06 17:24:00","UTC+10:00"
"5","7","0707","SAME","1723","SAME","2018-05-07 07:07:00","2018-05-07 17:23:00","UTC+10:00"
"5","8","0708","SAME","1722","SAME","2018-05-08 07:08:00","2018-05-08 17:22:00","UTC+10:00"
"5","9","0709","SAME","1721","SAME","2018-05-09 07:09:00","2018-05-09 17:21:00","UTC+10:00"
"5","10","0709","SAME","1720","SAME","2018-05-10 07:09:00","2018-05-10 17:20:00","UTC+10:00"
"5","11","0710","SAME","1719","SAME","2018-05-11 07:10:00","2018-05-11 17:19:00","UTC+10:00"
"5","12","0711","SAME","1718","SAME","2018-05-12 07:11:00","2018-05-12 17:18:00","UTC+10:00"
"5","13","0712","SAME","1717","SAME","2018-05-13 07:12:00","2018-05-13 17:17:00","UTC+10:00"
"5","14","0713","SAME","1716","SAME","2018-05-14 07:13:00","2018-05-14 17:16:00","UTC+10:00"
